iter	Passed	Remaining
146	268	1558
147	270	1557
148	272	1555
149	274	1553
150	275	1551
151	277	1548
152	279	1546
153	281	1544
154	283	1543
155	284	1540
156	286	1538
157	288	1537
158	290	1535
159	292	1533
160	293	1530
161	295	1528
162	297	1526
163	299	1524
164	300	1523
165	302	1520
166	304	1518
167	306	1516
168	308	1515
169	309	1513
170	312	1513
171	314	1512
172	315	1510
173	317	1508
174	319	1506
175	321	1505
176	323	1503
177	325	1502
178	327	1500
179	328	1497
180	330	1495
181	332	1493
182	334	1492
183	336	1491
184	338	1489
185	339	1487
186	341	1485
187	343	1483
188	344	1479
189	346	1477
190	348	1475
191	350	1473
192	351	1471
193	353	1469
194	355	1467
195	357	1466
196	359	1464
197	361	1462
198	362	1460
199	364	1457
200	366	1456
201	368	1454
202	369	1451
203	371	1450
204	373	1448
205	375	1446
206	377	1445
207	378	1442
208	380	1440
209	382	1438
210	384	1436
211	385	1434
212	387	1432
213	389	1430
214	391	1428
215	392	1425
216	394	1424
217	396	1422
218	398	1420
219	400	1418
220	401	1416
221	403	1414
222	405	1413
223	406	1409
224	408	1407
225	410	1405
226	412	1404
227	414	1403
228	416	1400
229	417	1399
230	419	1397
231	421	1395
232	423	1393
233	424	1390
234	426	1389
235	428	1387
236	430	1386
237	432	1384
238	434	1382
239	436	1380
240	437	1379
241	439	1376
242	441	1375
243	443	1374
244	445	1372
245	447	1371
246	449	1369
247	450	1367
248	452	1365
249	454	1363
250	456	1361
251	458	1359
252	460	1358
253	461	1356
254	463	1354
255	465	1353
256	467	1351
257	469	1349
258	471	1347
259	472	1345
260	474	1344
261	476	1341
262	478	1339
263	479	1337
264	481	1335
265	483	1333
266	485	1331
267	486	1329
268	488	1328
269	490	1325
270	492	1323
271	493	1321
272	495	1319
273	497	1317
274	499	1315
275	500	1313
276	502	1311
277	504	1310
278	506	1308
279	508	1306
280	509	1304
281	511	1302
282	513	1301
283	515	1299
284	517	1297
285	518	1295
286	520	1293
287	522	1291
288	524	1290
289	526	1288
290	527	1286
291	529	1284
292	531	1282
293	533	1281
294	535	1279
295	537	1277
296	538	1275
297	540	1273
298	542	1271
299	544	1270
300	546	1268
301	548	1266
302	549	1264
303	551	1262
304	553	1261
305	555	1259
306	556	1257
307	558	1255
308	560	1253
309	562	1251
310	563	1249
311	565	1247
312	567	1245
313	569	1244
314	571	1242
315	572	1240
316	574	1238
317	576	1236
318	578	1234
319	579	1232
320	581	1230
321	583	1228
322	585	1226
323	587	1225
324	589	1223
325	590	1221
326	592	1219
327	594	1217
328	596	1216
329	598	1214
330	599	1212
331	601	1210
332	603	1208
333	604	1206
334	606	1204
335	608	1203
336	610	1201
337	612	1200
338	614	1198
339	616	1196
340	618	1194
341	620	1193
342	621	1191
343	623	1189
344	625	1187
345	627	1185
346	629	1183
347	630	1181
348	632	1179
349	634	1178
350	636	1176
351	638	1174
352	640	1173
353	641	1171
354	643	1169
355	645	1167
356	647	1166
357	649	1164
358	651	1162
359	652	1160
360	654	1158
361	656	1157
362	658	1155
363	660	1153
364	661	1151
365	663	1149
366	665	1147
367	667	1146
368	669	1144
369	671	1142
370	672	1141
371	674	1139
372	676	1137
373	678	1135
374	680	1133
375	682	1132
376	684	1130
377	685	1128
378	687	1126
379	689	1125
380	691	1123
381	693	1121
382	694	1119
383	696	1117
384	698	1115
385	700	1113
386	702	1112
387	703	1110
388	705	1108
389	707	1106
390	709	1104
391	710	1102
392	712	1100
393	714	1098
394	716	1097
395	718	1095
396	720	1093
397	721	1091
398	723	1090
399	725	1088
400	727	1086
401	729	1084
402	730	1082
403	732	1080
404	734	1079
405	736	1077
406	738	1075
407	739	1073
408	741	1072
409	743	1070
410	745	1068
411	747	1066
412	749	1064
413	750	1062
414	752	1061
415	754	1059
416	756	1057
417	758	1055
418	760	1054
419	761	1052
420	763	1050
421	765	1048
422	767	1046
423	768	1044
424	770	1042
425	772	1040
426	774	1039
427	776	1037
428	778	1035
429	779	1033
430	781	1032
431	783	1030
432	785	1028
433	786	1026
434	788	1024
435	790	1022
436	792	1021
437	794	1019
438	796	1018
439	798	1016
440	800	1014
441	802	1012
442	803	1010
443	805	1009
444	807	1007
445	809	1005
446	811	1003
447	812	1001
448	814	999
449	816	997
450	818	995
451	819	993
452	821	992
453	823	990
454	825	988
455	827	986
456	828	984
457	830	983
458	832	981
459	834	979
460	835	977
461	837	975
462	839	974
463	841	972
464	843	970
465	845	968
466	846	966
467	848	964
468	850	962
469	852	961
470	854	959
471	855	957
472	857	955
473	859	953
474	861	951
475	863	950
476	864	948
477	866	946
478	868	945
479	870	943
480	872	941
481	874	940
482	876	938
483	878	936
484	880	934
485	882	933
486	884	931
487	886	929
488	888	928
489	890	926
490	891	924
491	893	922
492	895	920
493	897	918
494	898	917
495	900	915
496	902	913
497	904	911
498	906	909
499	908	908
500	909	906
501	911	904
502	913	902
503	915	900
504	917	899
505	919	897
506	920	895
507	922	893
508	924	891
509	926	889
510	927	887
511	929	886
512	931	884
513	933	882
514	934	880
515	936	878
516	938	876
517	940	874
518	942	873
519	943	871
520	945	869
521	947	867
522	948	865
523	950	863
524	952	861
525	953	859
526	955	857
527	957	855
528	959	853
529	960	852
530	962	850
531	964	848
532	966	846
533	967	844
534	969	842
535	971	840
536	973	838
537	974	836
538	976	835
539	978	833
540	979	831
541	981	829
542	983	827
543	985	825
544	986	823
545	988	822
546	990	820
547	992	818
548	994	816
549	995	814
550	997	812
551	999	811
552	1001	809
553	1002	807
554	1004	805
555	1006	803
556	1008	801
557	1009	799
558	1011	798
559	1013	796
560	1015	794
561	1016	792
562	1018	790
563	1020	788
564	1021	786
565	1023	784
566	1025	783
567	1027	781
568	1028	779
569	1030	777
570	1032	775
571	1034	773
572	1036	772
573	1037	770
574	1039	768
575	1041	766
576	1043	764
577	1044	762
578	1046	761
579	1048	759
580	1050	757
581	1052	755
582	1054	753
583	1055	752
584	1057	750
585	1059	748
586	1060	746
587	1062	744
588	1064	742
589	1066	740
590	1067	738
591	1069	737
592	1071	735
593	1072	733
594	1074	731
595	1076	729
596	1078	727
597	1080	726
598	1081	724
599	1083	722
600	1085	720
601	1087	718
602	1088	716
603	1090	714
604	1092	713
605	1093	711
606	1095	709
607	1097	707
608	1099	705
609	1100	703
610	1102	702
611	1104	700
612	1106	698
613	1107	696
614	1109	694
615	1111	692
616	1112	690
617	1114	688
618	1116	687
619	1118	685
620	1119	683
621	1121	681
622	1123	679
623	1125	677
624	1126	676
625	1128	674
626	1130	672
627	1131	670
628	1133	668
629	1135	666
630	1137	664
631	1138	663
632	1140	661
633	1142	659
634	1144	657
635	1145	655
636	1147	654
637	1149	652
638	1151	650
639	1153	648
640	1155	646
641	1156	645
642	1158	643
643	1160	641
644	1162	639
645	1163	637
646	1165	635
647	1167	634
648	1168	632
649	1170	630
650	1172	628
651	1174	626
652	1175	624
653	1177	622
654	1179	621
655	1180	619
656	1182	617
657	1184	615
658	1185	613
659	1187	611
660	1189	610
661	1191	608
662	1192	606
663	1194	604
664	1196	602
665	1198	601
666	1200	599
667	1202	597
668	1204	595
669	1206	594
670	1207	592
671	1210	590
672	1212	588
673	1214	587
674	1216	585
675	1218	583
676	1220	582
677	1222	580
678	1223	578
679	1225	576
680	1227	574
681	1229	573
682	1231	571
683	1232	569
684	1234	567
685	1236	565
686	1238	564
687	1239	562
688	1241	560
689	1243	558
690	1245	556
691	1247	555
692	1248	553
693	1250	551
694	1252	549
695	1254	547
696	1255	545
697	1257	544
698	1259	542
699	1261	540
700	1263	538
701	1264	536
702	1266	535
703	1268	533
704	1270	531
705	1271	529
706	1273	527
707	1275	525
708	1277	524
709	1279	522
710	1281	520
711	1283	519
712	1285	517
713	1287	515
714	1289	514
715	1291	512
716	1293	510
717	1295	508
718	1297	507
719	1299	505
720	1301	503
721	1303	501
722	1305	500
723	1306	498
724	1308	496
725	1310	494
726	1312	492
727	1314	491
728	1315	489
729	1317	487
730	1319	485
731	1321	483
732	1322	481
733	1324	480
734	1326	478
735	1328	476
736	1329	474
737	1331	472
738	1333	470
739	1335	469
740	1336	467
741	1338	465
742	1340	463
743	1342	461
744	1343	459
745	1345	458
746	1347	456
747	1349	454
748	1350	452
749	1352	450
750	1354	449
751	1356	447
752	1357	445
753	1359	443
754	1360	441
755	1362	439
756	1364	438
757	1366	436
758	1368	434
759	1369	432
760	1371	430
761	1373	429
762	1375	427
763	1377	425
764	1378	423
765	1380	421
766	1382	419
767	1384	418
768	1386	416
769	1387	414
770	1389	412
771	1391	410
772	1393	409
773	1395	407
774	1396	405
775	1398	403
776	1400	402
777	1402	400
778	1404	398
779	1406	396
780	1408	394
781	1409	393
782	1411	391
783	1413	389
784	1415	387
785	1417	385
786	1418	384
787	1420	382
788	1422	380
789	1424	378
790	1426	376
791	1428	375
792	1429	373
793	1431	371
794	1433	369
795	1435	367
796	1437	366
797	1438	364
798	1440	362
799	1442	360
800	1444	358
801	1446	357
802	1448	355
803	1450	353
804	1451	351
805	1453	349
806	1455	348
807	1457	346
808	1459	344
809	1460	342
810	1462	340
811	1464	339
812	1466	337
813	1468	335
814	1469	333
815	1471	331
816	1473	330
817	1475	328
818	1476	326
819	1478	324
820	1480	322
821	1482	320
822	1484	319
823	1485	317
824	1487	315
825	1489	313
826	1491	311
827	1493	310
828	1494	308
829	1496	306
830	1498	304
831	1500	302
832	1502	301
833	1504	299
834	1505	297
835	1507	295
836	1509	293
837	1511	292
838	1513	290
839	1514	288
840	1516	286
841	1518	284
842	1520	283
843	1521	281
844	1523	279
845	1525	277
846	1527	275
847	1529	274
848	1531	272
849	1532	270
850	1534	268
851	1536	266
852	1538	265
853	1539	263
854	1541	261
855	1543	259
856	1545	257
857	1546	256
858	1548	254
859	1550	252
860	1552	250
861	1554	248
862	1555	247
863	1557	245
864	1559	243
865	1561	241
866	1562	239
867	1564	237
868	1566	236
869	1568	234
870	1569	232
871	1571	230
872	1573	228
873	1575	227
874	1576	225
875	1578	223
876	1580	221
877	1582	219
878	1584	218
879	1585	216
880	1587	214
881	1589	212
882	1591	210
883	1592	209
884	1594	207
885	1596	205
886	1598	203
887	1599	201
888	1601	200
889	1603	198
890	1605	196
891	1606	194
892	1608	192
893	1610	190
894	1611	189
895	1613	187
896	1615	185
897	1617	183
898	1619	181
899	1620	180
900	1622	178
901	1624	176
902	1626	174
903	1628	172
904	1629	171
905	1631	169
906	1633	167
907	1634	165
908	1636	163
909	1638	162
910	1640	160
911	1642	158
912	1644	156
913	1646	154
914	1647	153
915	1649	151
916	1651	149
917	1653	147
918	1655	145
919	1657	144
920	1658	142
921	1660	140
922	1662	138
923	1664	136
924	1666	135
925	1667	133
926	1669	131
927	1671	129
928	1673	127
929	1675	126
930	1676	124
931	1678	122
932	1680	120
933	1681	118
934	1683	117
935	1685	115
936	1687	113
937	1688	111
938	1690	109
939	1692	108
940	1694	106
941	1695	104
942	1697	102
943	1699	100
944	1701	99
945	1703	97
946	1705	95
947	1707	93
948	1708	91
949	1710	90
950	1712	88
951	1714	86
952	1716	84
953	1717	82
954	1719	81
955	1721	79
956	1723	77
957	1725	75
958	1727	73
959	1728	72
960	1730	70
961	1732	68
962	1734	66
963	1735	64
964	1737	63
965	1739	61
966	1741	59
967	1743	57
968	1745	55
969	1746	54
970	1748	52
971	1750	50
972	1751	48
973	1753	46
974	1755	45
975	1757	43
976	1758	41
977	1760	39
978	1762	37
979	1764	36
980	1766	34
981	1767	32
982	1769	30
983	1771	28
984	1773	27
985	1774	25
986	1776	23
987	1778	21
988	1780	19
989	1782	18
990	1783	16
991	1785	14
992	1787	12
993	1789	10
994	1791	9
995	1792	7
996	1794	5
997	1796	3
998	1798	1
999	1800	0
